"LOA DATE",PRODUCT,MODEL,"PRIMARY VIOLATION",CITATION,"ACTION REQUESTED",FIRM,"ADDRESS 1","ADDRESS 2","FOREIGN MFG","LOT SIZE",COUNTRY
"January 2018","FILANA BEESWAX CRAYONS","12 CT","Tracking Label Violation","15 U.S.C.  § 2063(a)(5)","Correct Future Production","FILANA CRAYONS","PO BOX 724","PAONIA, CO 81428","FILANA CRAYONS",40,USA
"January 2018","PRINCESS CASTLE TENT",FNSKUX001GXMSLF,"Lead in Children's Product / FHSA","16 CFR 1500","Stop Sale and Correct Future Production","LOGISTIC CORNER, INC.","158 PENN STREET","BROOKLYN, NY 11211","WUYI LUOKE LEISURE PRODUCT COMPANY LIMITED",4670,CHINA
"January 2018","""GIRLS TENT""",FNSKUX001GXUDYJ,"Lead in Children's Product / FHSA","16 CFR 1500","Stop Sale and Correct Future Production","LOGISTIC CORNER, INC.","158 PENN STREET","BROOKLYN, NY 11211","WUYI LUOKE LEISURE PRODUCT COMPANY LIMITED",4595,CHINA
"January 2018","""GIRLS TENT""",FNSKUX001GXUDYJ,"Lead in Children's Product / FHSA","16 CFR 1500","Stop Sale and Correct Future Production","LOGISTIC CORNER, INC.","158 PENN STREET","BROOKLYN, NY 11211","WUYI LUOKE LEISURE PRODUCT COMPANY LIMITED",4670,CHINA
"January 2018","PRINCESS CASTLE TENT",FNSKUX001GXMSLF,"Lead in Children's Product / FHSA","16 CFR 1500","Stop Sale and Correct Future Production","LOGISTIC CORNER, INC.","158 PENN STREET","BROOKLYN, NY 11211","WUYI LUOKE LEISURE PRODUCT COMPANY LIMITED",4595,CHINA
"January 2018","CHILDREN FOOTWEAR",X001JCJ2SF,"Lead in Children's Product / FHSA","16 CFR 1500","Stop Sale and Correct Future Production","AMAZON.COM (AMAZON TECHNOLOGIES INC.)","24208 SAN MICHELE ROAD","MORENO VALLEY, CA 92551","EMMA ZHU",154,CHINA
"January 2018","CHILDREN FOOTWEAR",X001JCQ5VR,"Lead in Children's Product / FHSA","16 CFR 1500","Stop Sale and Correct Future Production","AMAZON.COM (AMAZON TECHNOLOGIES INC.)","24208 SAN MICHELE ROAD","MORENO VALLEY, CA 92551","EMMA ZHU",154,CHINA
"January 2018","TOTTO BACKPACK","VARIOUS SEE REM","Lead in Children's Product / FHSA","16 CFR 1500","Stop Sale and Correct Future Production","FELINO CORP","H5 AVENIDA SAN PATRICIO LOS PA","GUAYNABO, PR 00968","COMERCIAL IZADORA Z.L.P. S.A.",156,CHINA
"January 2018","TOTTO LUNCH BAG","VARIOUS SEE REM","Lead in Children's Product / FHSA","16 CFR 1500","Stop Sale and Correct Future Production","FELINO CORP","H5 AVENIDA SAN PATRICIO LOS PA","GUAYNABO, PR 00968","COMERCIAL IZADORA Z.L.P. S.A.",360,CHINA
"January 2018","TOTTO BACKPACK","VARIOUS SEE REM","Lead in Children's Product / FHSA","16 CFR 1500","Stop Sale and Correct Future Production","FELINO CORP","H5 AVENIDA SAN PATRICIO LOS PA","GUAYNABO, PR 00968","COMERCIAL IZADORA Z.L.P. S.A.",168,CHINA
"January 2018","TOTTO PENCIL BAG","VARIOUS SEE REM","Lead in Children's Product / FHSA","16 CFR 1500","Stop Sale and Correct Future Production","FELINO CORP","H5 AVENIDA SAN PATRICIO LOS PA","GUAYNABO, PR 00968","COMERCIAL IZADORA Z.L.P. S.A.",432,CHINA
"January 2018","TOTTO BACKPACK",MA03ECO003-1720,"Lead in Children's Product / FHSA","16 CFR 1500","Stop Sale and Correct Future Production","FELINO CORP","H5 AVENIDA SAN PATRICIO LOS PA","GUAYNABO, PR 00968","COMERCIAL IZADORA Z.L.P. S.A.",68,CHINA
"January 2018","CHILDREN'S SWEATSHIRT WITH RHI","  ","Lead in Children's Product / FHSA","16 CFR 1500","Stop Sale and Correct Future Production","LSH PLUS LLC","317 PIERCY ROAD","SAN JOSE, CA 95138","MONNALISA S.P.A",8,TURKEY
"January 2018","CHILDREN'S DRESS WITH RHINESTO","  ","Lead in Children's Product / FHSA","16 CFR 1500","Stop Sale and Correct Future Production","LSH PLUS LLC","317 PIERCY ROAD","SAN JOSE, CA 95138","MONNALISA S.P.A",16,TURKEY
"January 2018","CHILDREN'S PULLOVER WITH RHINE","  ","Lead in Children's Product / FHSA","16 CFR 1500","Stop Sale and Correct Future Production","LSH PLUS LLC","317 PIERCY ROAD","SAN JOSE, CA 95138","MONNALISA S.P.A",16,TURKEY
"January 2018","S/S POP OVER LIGHT BLUE","  ","Lead in Children's Product / FHSA","16 CFR 1500","Stop Sale and Correct Future Production","PERUVIAN HIGHLANDS, INC","5163 NW 74TH AVENUE","MIAMI, FL 33166","NATASH S.A.C.",45,PERU
"January 2018","SUNDRESS LIGHT BLUE","  ","Lead in Children's Product / FHSA","16 CFR 1500","Stop Sale and Correct Future Production","PERUVIAN HIGHLANDS, INC","5163 NW 74TH AVENUE","MIAMI, FL 33166","NATASH S.A.C.",116,PERU
"January 2018","S/S POP OVER YELLOW","  ","Lead in Children's Product / FHSA","16 CFR 1500","Stop Sale and Correct Future Production","PERUVIAN HIGHLANDS, INC","5163 NW 74TH AVENUE","MIAMI, FL 33166","NATASH S.A.C.",45,PERU
"January 2018","BOY'S SHOE BROWN W/VELCRO TAB","  ","Lead in Children's Product / FHSA","16 CFR 1500","Stop Sale and Correct Future Production","SILVIA LORENA SANDOVAL ORTIZ","1107 S MAPLE ST","LOS ANGELES, CA 90015","  ",28,MEXICO
"January 2018","WOODEN DOLLS SET","  ","Tracking Label Violation","15 U.S.C.  § 2063(a)(5)","Stop Sale and Correct Future Production","WLL TECH SOLUTIONS, INC","3699 YALE WAY","FREMONT, CA 94538","SHENZHEN TRANSLINK LOGISTICS CO, LTD",100,CHINA
"January 2018","TOY UKULELE - BLUE",DC13981BL,"Lead-in-Paint Toy/Children's Product/CPSA","16 CFR 1303","Stop Sale and Correct Future Production","ALL IN AUDIO INC","145 JOHN STREET","NEW WINDSOR, NY 126553","HANG WING PLASTIC INDUSTRY CO., LTD.",504,CHINA
"January 2018","TOY UKULELE - PINK",DC13981PK,"Lead-in-Paint Toy/Children's Product/CPSA","16 CFR 1303","Stop Sale and Correct Future Production","ALL IN AUDIO INC","145 JOHN STREET","NEW WINDSOR, NY 126553","HANG WING PLASTIC INDUSTRY CO., LTD.",504,CHINA
