"checking.status","duration.in.months","credit.history","purpose","amount","savings","employed.since","percentage.of.disposable.income","personal.status.and.sex","cosigners","at.residence.since","property","age.in.years","other.installment.plans","housing","num.credits.at.bank","job","num.dependents","telephone","foreign.worker","good.loan","Good.Loan"
"< 0 DM",6,"critical","radio/television",1169,"unknown",">= 7 years",4,"male:single","none",4,"real estate",67,"none","own",2,"skilled employee/official",1,"yes, registered under the customers name","yes",1,"GoodLoan"
"< 200 DM",48,"paid to date","radio/television",5951,"< 100 DM","< 4 years",2,"female:divorced/separated/married","none",2,"real estate",22,"none","own",1,"skilled employee/official",1,"none","yes",2,"BadLoan"
"no checking",12,"critical","education",2096,"< 100 DM","< 7 years",2,"male:single","none",3,"real estate",49,"none","own",1,"unskilled - resident",2,"none","yes",1,"GoodLoan"
"< 0 DM",42,"paid to date","furniture/equipment",7882,"< 100 DM","< 7 years",2,"male:single","guarantor",4,"savings/life ins",45,"none","for free",1,"skilled employee/official",2,"none","yes",1,"GoodLoan"
"< 0 DM",24,"past delays","car (new)",4870,"< 100 DM","< 4 years",3,"male:single","none",4,"unknown",53,"none","for free",2,"skilled employee/official",2,"none","yes",2,"BadLoan"
"no checking",36,"paid to date","education",9055,"unknown","< 4 years",2,"male:single","none",4,"unknown",35,"none","for free",1,"unskilled - resident",2,"yes, registered under the customers name","yes",1,"GoodLoan"
"no checking",24,"paid to date","furniture/equipment",2835,"< 1000 DM",">= 7 years",3,"male:single","none",4,"savings/life ins",53,"none","own",1,"skilled employee/official",1,"none","yes",1,"GoodLoan"
"< 200 DM",36,"paid to date","car (used)",6948,"< 100 DM","< 4 years",2,"male:single","none",2,"car or other",35,"none","rent",1,"management/self-employed/highly qualified employee/ officer",1,"yes, registered under the customers name","yes",1,"GoodLoan"
"no checking",12,"paid to date","radio/television",3059,">= 1000 DM","< 7 years",2,"male:divorced/separated","none",4,"real estate",61,"none","own",1,"unskilled - resident",1,"none","yes",1,"GoodLoan"
"< 200 DM",30,"critical","car (new)",5234,"< 100 DM","unemployed",4,"male:married/widowed","none",2,"car or other",28,"none","own",2,"management/self-employed/highly qualified employee/ officer",1,"none","yes",2,"BadLoan"
"< 200 DM",12,"paid to date","car (new)",1295,"< 100 DM","< 1 year",3,"female:divorced/separated/married","none",1,"car or other",25,"none","rent",1,"skilled employee/official",1,"none","yes",2,"BadLoan"
"< 0 DM",48,"paid to date","business",4308,"< 100 DM","< 1 year",3,"female:divorced/separated/married","none",4,"savings/life ins",24,"none","rent",1,"skilled employee/official",1,"none","yes",2,"BadLoan"
"< 200 DM",12,"paid to date","radio/television",1567,"< 100 DM","< 4 years",1,"female:divorced/separated/married","none",1,"car or other",22,"none","own",1,"skilled employee/official",1,"yes, registered under the customers name","yes",1,"GoodLoan"
"< 0 DM",24,"critical","car (new)",1199,"< 100 DM",">= 7 years",4,"male:single","none",4,"car or other",60,"none","own",2,"unskilled - resident",1,"none","yes",2,"BadLoan"
"< 0 DM",15,"paid to date","car (new)",1403,"< 100 DM","< 4 years",2,"female:divorced/separated/married","none",4,"car or other",28,"none","rent",1,"skilled employee/official",1,"none","yes",1,"GoodLoan"
"< 0 DM",24,"paid to date","radio/television",1282,"< 500 DM","< 4 years",4,"female:divorced/separated/married","none",2,"car or other",32,"none","own",1,"unskilled - resident",1,"none","yes",2,"BadLoan"
"no checking",24,"critical","radio/television",2424,"unknown",">= 7 years",4,"male:single","none",4,"savings/life ins",53,"none","own",2,"skilled employee/official",1,"none","yes",1,"GoodLoan"
"< 0 DM",30,"fully paid","business",8072,"unknown","< 1 year",2,"male:single","none",3,"car or other",25,"bank","own",3,"skilled employee/official",1,"none","yes",1,"GoodLoan"
"< 200 DM",24,"paid to date","car (used)",12579,"< 100 DM",">= 7 years",4,"female:divorced/separated/married","none",2,"unknown",44,"none","for free",1,"management/self-employed/highly qualified employee/ officer",1,"yes, registered under the customers name","yes",2,"BadLoan"
"no checking",24,"paid to date","radio/television",3430,"< 1000 DM",">= 7 years",3,"male:single","none",2,"car or other",31,"none","own",1,"skilled employee/official",2,"yes, registered under the customers name","yes",1,"GoodLoan"
"no checking",9,"critical","car (new)",2134,"< 100 DM","< 4 years",4,"male:single","none",4,"car or other",48,"none","own",3,"skilled employee/official",1,"yes, registered under the customers name","yes",1,"GoodLoan"
"< 0 DM",6,"paid to date","radio/television",2647,"< 1000 DM","< 4 years",2,"male:single","none",3,"real estate",44,"none","rent",1,"skilled employee/official",2,"none","yes",1,"GoodLoan"
